[INFO] 2025-06-08 23:31:37,920 matched_betting_api - === Starting Matched Betting API Server ===
[INFO] 2025-06-08 23:31:38,605 matched_betting_api - === Starting Matched Betting API Server ===
[INFO] 2025-06-08 23:31:58,334 matched_betting_api - Request to predict match: Milan-Inter
[INFO] 2025-06-08 23:31:58,334 matched_betting_api - Using providers: ['Bet365', 'Betfair']
[INFO] 2025-06-08 23:31:58,334 matched_betting_api - [predict_match] Inizio flusso per 'Milan-Inter'
[INFO] 2025-06-08 23:31:58,347 matched_betting_api - Outcome predetto: HomeWin
[INFO] 2025-06-08 23:31:58,357 matched_betting_api - Request to identify value bet: Milan-Inter
[INFO] 2025-06-08 23:31:58,358 matched_betting_api - [identify_value_bet] Cercando value bet per Milan-Inter
[INFO] 2025-06-08 23:32:24,636 matched_betting_api - Request to predict match: Milan-Inter
[INFO] 2025-06-08 23:32:24,636 matched_betting_api - Using providers: ['Bet365', 'Betfair']
[INFO] 2025-06-08 23:32:24,636 matched_betting_api - [predict_match] Inizio flusso per 'Milan-Inter'
[INFO] 2025-06-08 23:32:24,640 matched_betting_api - Outcome predetto: HomeWin
[INFO] 2025-06-08 23:32:24,656 matched_betting_api - Request to identify value bet: Milan-Inter
[INFO] 2025-06-08 23:32:24,656 matched_betting_api - [identify_value_bet] Cercando value bet per Milan-Inter
[INFO] 2025-06-08 23:32:40,514 matched_betting_api - Request to predict match: Milan-Inter
[INFO] 2025-06-08 23:32:40,514 matched_betting_api - Using providers: ['Bet365']
[INFO] 2025-06-08 23:32:40,516 matched_betting_api - [predict_match] Inizio flusso per 'Milan-Inter'
[INFO] 2025-06-08 23:32:40,528 matched_betting_api - Outcome predetto: HomeWin
[INFO] 2025-06-08 23:32:40,540 matched_betting_api - Request to identify value bet: Milan-Inter
[INFO] 2025-06-08 23:32:40,540 matched_betting_api - [identify_value_bet] Cercando value bet per Milan-Inter
[INFO] 2025-06-08 23:32:40,957 matched_betting_api - Request to predict match: Milan-Inter
[INFO] 2025-06-08 23:32:40,957 matched_betting_api - Using providers: ['Bet365']
[INFO] 2025-06-08 23:32:40,957 matched_betting_api - [predict_match] Inizio flusso per 'Milan-Inter'
[INFO] 2025-06-08 23:32:40,961 matched_betting_api - Outcome predetto: HomeWin
[INFO] 2025-06-08 23:32:40,971 matched_betting_api - Request to identify value bet: Milan-Inter
[INFO] 2025-06-08 23:32:40,973 matched_betting_api - [identify_value_bet] Cercando value bet per Milan-Inter
